iic_power_vs_random,iic_power_vs_not_in_largest_mcs,iic_power_vs_weakening,run_id
1.0,0.9895688456189151,0.9894167450611477,20260520035332578752
0.9992749682798623,0.5,0.9506172839506173,20260520035332578752
1.0,1.0,0.9967105263157895,20260520035332578752
0.9984979346601577,0.9506172839506173,0.997539975399754,20260520035332578752
0.991537973344616,0.9915254237288136,0.5,20260520035332578752
1.0,1.0,0.9956331877729258,20260520035332578752
1.0,0.5,0.5,20260520035332578752
0.9981006647673314,0.9988556170131604,0.5,20260520035332578752
0.9992478375329071,0.9746835443037974,0.9746835443037974,20260520035332578752
0.9994588744588745,0.9990596200865149,0.9990201842053694,20260520035332578752
0.9983552631578947,0.9967105263157895,0.9986111111111111,20260520035332578752
0.9952380952380953,0.5,0.9506172839506173,20260520035332578752
1.0,0.5,0.9965716734518963,20260520035332578752
1.0,1.0,0.9871794871794872,20260520035332578752
0.9873271889400922,0.5,0.5,20260520035332578752
1.0,1.0,0.9956331877729258,20260520035332578752
0.9991546914623838,1.0,0.9966996699669967,20260520035332578752
1.0,0.5,0.5,20260520035332578752
0.9969159599074788,0.5,0.9506172839506173,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.9994348153730218,0.9967105263157895,0.9967105263157895,20260520035332578752
1.0,0.9976405819897759,0.5,20260520035332578752
1.0,1.0,0.9993730407523511,20260520035332578752
0.9985390796201608,0.5,0.9506172839506173,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.9986876640419947,0.9375,0.0,20260520035332578752
0.9915254237288136,0.9905477980665951,0.9895424836601308,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.9973753280839895,0.9888631090487239,0.5,20260520035332578752
0.9947019867549669,0.5,0.5,20260520035332578752
1.0,0.5,0.95,20260520035332578752
1.0,1.0,0.9935064935064936,20260520035332578752
1.0,0.5,0.9506172839506173,20260520035332578752
1.0,0.9966996699669967,0.9966996699669967,20260520035332578752
1.0,0.5,0.9506172839506173,20260520035332578752
0.9996280453784638,1.0,0.9992028696691909,20260520035332578752
0.999459556836606,0.9994422755158952,0.9986263736263736,20260520035332578752
0.9972875226039783,1.0,0.9966996699669967,20260520035332578752
0.9993798449612403,0.9987371079772679,0.9982425307557118,20260520035332578752
0.9976819656930923,0.9973764757324005,0.9971891891891892,20260520035332578752
0.9845916795069337,0.9506172839506173,0.9506172839506173,20260520035332578752
1.0,0.5,0.9506172839506173,20260520035332578752
0.9988038277511961,0.5,0.9871794871794872,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.995979091274628,0.9506172839506173,0.9506172839506173,20260520035332578752
0.9973684210526316,0.9967105263157895,0.5,20260520035332578752
0.9941275167785235,0.9506172839506173,0.9940285775218597,20260520035332578752
0.9896103896103896,0.9506172839506173,0.9506172839506173,20260520035332578752
1.0,0.5,0.5,20260520035332578752
0.5,0.5,0.9843597262952102,20260520035332578752
1.0,0.9506172839506173,0.9934813607659401,20260520035332578752
0.996912389038981,0.9957319675629535,0.5,20260520035332578752
0.9941888619854722,0.994187454589489,0.9506172839506173,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.9993738259236068,0.9935064935064936,0.9935064935064936,20260520035332578752
0.999611575063119,0.9966996699669967,1.0,20260520035332578752
0.9929039301310044,1.0,1.0,20260520035332578752
0.9913896197082038,0.5,0.9506172839506173,20260520035332578752
1.0,0.9506172839506173,0.9896292455276121,20260520035332578752
0.9961538461538462,0.5,0.9506172839506173,20260520035332578752
1.0,1.0,1.0,20260520035332578752
0.9904368615518365,0.5,0.9506172839506173,20260520035332578752
1.0,1.0,0.9990956773376741,20260520035332578752
1.0,1.0,0.9946808510638298,20260520035332578752
0.9934866680236109,0.9933884297520661,0.992465466722478,20260520035332578752
1.0,0.9912663755458515,0.9871794871794872,20260520035332578752
1.0,0.9871794871794872,0.5,20260520035332578752
0.9916317991631799,0.5,0.9506172839506173,20260520035332578752
1.0,0.5,0.9506172839506173,20260520035332578752
1.0,0.5,0.9934760448521917,20260520035332578752
0.9968784838350055,0.9746835443037974,0.5,20260520035332578752
0.9960348929421095,0.5,0.9923339011925043,20260520035332578752
0.9977155910908052,0.9506172839506173,0.9506172839506173,20260520035332578752
1.0,0.9967105263157895,0.9967105263157895,20260520035332578752
1.0,0.9957481271512452,0.9625,20260520035332578752
0.987613149118628,0.9506172839506173,0.5,20260520035332578752
0.9920437593237196,0.9506172839506173,0.5,20260520035332578752
1.0,1.0,0.5,20260520035332578752
0.5,0.9888353209845216,0.9506172839506173,20260520035332578752
1.0,1.0,0.9986094557012316,20260520035332578752
1.0,1.0,0.9966996699669967,20260520035332578752
0.9975757575757576,0.9975152473458324,0.9974776427424903,20260520035332578752
0.999176276771005,0.9966887417218543,1.0,20260520035332578752
0.9968731678717999,0.5,0.9933054393305439,20260520035332578752
1.0,0.9506172839506173,0.5,20260520035332578752
0.9970866715222141,0.989235254541377,0.9881764438381082,20260520035332578752
0.9977973568281938,1.0,0.996177370030581,20260520035332578752
0.995436394751854,0.5,0.9506172839506173,20260520035332578752
